Prix,Surface,Arrondissement,Pieces,DPE,Lien,Description,Date_scraping
2800.0,70.0,17,4.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293022770A1KILHAP000,Appartement à louer 4 pièces meublé paris 17eme arrondissement (75). paris 17e…,2026-08-01
1219.0,27.0,4,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1288841155A1KILHAP000,"Exclusivite - quartier du marais - dans le 4e arrondissement, rue quincampoix,…",2026-08-01
3050.0,90.0,15,4.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293665314A1KILHAP000,Appartement de 90m2 à louer sur paris 15. location appartement t4 à…,2026-08-01
1300.0,35.0,13,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293665256A1KILHAP000,"Appartement de 35m2 à louer sur paris 13. de particulier à particulier,…",2026-08-01
940.0,22.0,14,1.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293665234A1KILHAP000,"Studio de 22m2 à louer sur paris 14. de particulier à particulier,…",2026-08-01
815.0,23.0,16,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293665219A1KILHAP000,"Chambre de 23m2 à louer sur paris 16. de particulier à particulier,…",2026-08-01
800.0,17.0,16,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293665211A1KILHAP000,Studio de 17m2 à louer sur paris 16. location studio à paris…,2026-08-01
1200.0,38.0,15,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1293641879A1KILHAP000,"Grand studio vue jardin. entresol, résidence ultra sécurisée gardien, balcon de 6…",2026-08-01
1993.0,56.0,10,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293661829A1KILHAP000,À louer : découvrez cet appartement t3 idéalement situé dans le 10ème…,2026-08-01
1570.0,45.0,18,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293655478A1KILHAP000,Appartement meublé 2 pièces 45 m² métro lamarck paris 18. situé rue…,2026-08-01
1295.0,,12,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293654871A1KILHAP000,Studio loué meublé - reuilly diderot. l'adresse nation a le plaisir de…,2026-08-01
575.0,53.0,11,3.0,2.0,https://www.paruvendu.fr/immobilier/location/duplex-triplex/1293456266A1KILHDU000,Tres joli duplex artistique collé au chateau d' egleny . 89240 egleny…,2026-08-01
1000.0,20.0,19,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1290842078A1KILHAP000,"20 m2 , metro belleville/ pyrennees paris 19ème. rue rampal entre pyrénée…",2026-08-01
2300.0,53.0,15,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292019266A1KILHAP000,"Paris, appartement terrasse 53 m² au 9e étage. Lumineux et moderne, il…",2026-08-01
2900.0,124.0,16,4.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292419432A1KILHAP000,Paris 16 - Chardon-Lagache | T4 de 100 m² en rez-de-chaussée. Appartement…,2026-08-01
930.0,17.0,13,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293066983A1KILHAP000,Location appartement 1 pièce. iad france - tara dattilesi vous propose: À…,2026-08-01
728.0,17.0,19,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293640773A1KILHAP000,"Studio de 17m2 à louer sur paris 19. paris 19, à louer…",2026-08-01
3400.0,93.0,4,2.0,7.0,https://www.paruvendu.fr/immobilier/location/appartement/1293640762A1KILHAP000,Appartement de 93m2 à louer sur paris 04. location appartement t2 à…,2026-08-01
4500.0,141.0,17,4.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1290224088A1KILHAP000,"Paris 17ème, 4 pièces de 141 m². Appartement au 3ème étage d'un…",2026-08-01
923.0,23.0,10,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293634695A1KILHAP000,À louer : votre cocon parisien au cœur du 10ème arrondissement !…,2026-08-01
825.0,18.0,11,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293556117A1KILHAP000,"Studio de 18m2 à louer sur paris 11. paris 11, à louer…",2026-08-01
1450.0,26.0,7,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1291330287A1KILHAP000,"À Paris, rue de La Chaise, studio meublé au 2è étage d?un…",2026-08-01
1426.0,52.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293401290A1KILHAP000,Location appartement 2 pièces. iad france - diogo soto maior () vous…,2026-08-01
898.0,14.0,15,1.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293613624A1KILHAP000,"Studio de 14m2 à louer sur paris 15. paris 15, à louer…",2026-08-01
1350.0,24.0,5,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293583200A1KILHAP000,"Studio de 24m2 à louer sur paris 05. paris 05, à louer…",2026-08-01
1499.0,41.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293342843A1KILHAP000,À louer : charmant appartement t2 situé quai de grenelle dans le…,2026-08-01
1645.0,42.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1292881402A1KILHAP000,Grand studio meublÉ avec balcon – paris 15?. christophe castanchoa latchere capifrance…,2026-08-01
1380.0,52.0,19,2.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1289562153A1KILHAP000,"Au c?ur de Paris 19, appartement 2 pièces meublé de 54 m²…",2026-08-01
1527.0,49.0,15,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1289474174A1KILHAP000,"À Paris, appartement 2 pièces de 49 m² avec terrasse, proche métro…",2026-08-01
807.0,20.0,15,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1289722153A1KILHAP000,"Idéalement situé à Paris, cet appartement T1 de 20 m² dans le…",2026-08-01
1456.0,51.0,10,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293316023A1KILHAP000,"À louer : appartement t2 situé dans le 10ème arrondissement de paris,…",2026-08-01
2200.0,50.0,18,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1293744362A1KILHAP000,Location appartement 2 pièces. iad france - sandrine perez vous propose: location…,2026-08-01
1735.0,50.0,12,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293526343A1KILHAP000,Appartement de 50m2 à louer sur paris 12. appartement t2 de particulier…,2026-08-01
1800.0,49.0,12,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293390078A1KILHAP000,Appartement 2-3 pièces nation. paris xii ème à seulement 300m de la…,2026-08-01
2250.0,56.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293301519A1KILHAP000,2 pièces meublés champ de mars. bail étudiant 9 mois. grand 2…,2026-08-01
2250.0,47.0,16,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1291118880A1KILHAP000,"Paris, appartement meublé 2 pièces de 47 m² au 1er étage. Comprend…",2026-08-01
1650.0,28.0,16,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293487827A1KILHAP000,Appartement de 28m2 à louer sur paris 16. À louer sur paris…,2026-08-01
2056.0,66.0,13,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293475501A1KILHAP000,Location appartement 3 pièces. iad france - zhaoxia hauwel vous propose: paris…,2026-08-01
3800.0,77.0,6,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293468964A1KILHAP000,"""paris 6ème mabillon"" superbe appartement de 3 pièces meublé de 76 m²…",2026-08-01
900.0,15.0,6,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1293013225A1KILHAP000,"Paris, studio ou studette recherché à proximité de la piscine Saint-Germain. Budget…",2026-08-01
3700.0,102.0,9,4.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293388695A1KILHAP000,Location appartement paris 75009 - 3 pieces - 2 chambres. paris 9…,2026-08-01
3500.0,49.0,3,2.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293371564A1KILHAP000,1 bedroom apartment marais filles du calvaire. ideally located in the heart…,2026-08-01
2074.0,62.0,15,3.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293274082A1KILHAP000,Location appartement 3 pièces. iad france - ludivine radigue vous propose: location…,2026-08-01
950.0,17.0,6,1.0,1.0,https://www.paruvendu.fr/immobilier/location/appartement/1293246181A1KILHAP000,"Vavin charmant studio meublé !. rue vavin, ce studio meublé de 16,50m²…",2026-08-01
2724.0,80.0,15,4.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293245778A1KILHAP000,"Mairie du 15ème : 4 pièces, 80.3m2 + terrasse de 5.27 m2.…",2026-08-01
,,12,3.0,,https://www.paruvendu.fr/immobilier/location/appartement/1281153621A1KILHAP000,Appartement paris 3 pièce(s). copropriété de 312 lots - dont 102 lots…,2026-08-01
1020.0,30.0,1,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1293147283A1KILHAP000,Studio 30m2. studio 30m2 pas d agence pas de demarcheur merci .…,2026-08-01
1195.0,28.0,11,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292810367A1KILHAP000,"À Paris, appartement meublé dans une copropriété calme et sécurisée. Il comprend…",2026-08-01
1320.0,27.0,15,2.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293138782A1KILHAP000,"Près de la tour eiffel métro dupleix. dans un quartier très prisé,…",2026-08-01
1300.0,30.0,20,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293066682A1KILHAP000,Location appartement 2 pièces. iad france - géraldine laure vous propose: appartement…,2026-08-01
1768.0,53.0,17,3.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293031839A1KILHAP000,"À Paris, appartement 3 pièces meublé de 53m². LUMINEUX avec balcons. 4e…",2026-08-01
3100.0,83.0,12,4.0,,https://www.paruvendu.fr/immobilier/location/appartement/1293007630A1KILHAP000,Meublée 3 chambres 83m2+12m2 loggia paris 12ème. location meublée 3 chambres 83m2+12m2…,2026-08-01
2100.0,62.0,12,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1292984437A1KILHAP000,"À Paris, app idéal à partir du 01/08/2026. 3P meublé de 63m²…",2026-08-01
1754.0,55.0,18,3.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292971687A1KILHAP000,"Paris 18, rue Lamarck. 3 pièces de 54.58m2 en rez-de-chaussée. Belle hauteur…",2026-08-01
1930.0,60.0,12,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1292961184A1KILHAP000,"Appartement 2 pieces, paris 12. appartement traversant, 2 pièces, un grand séjour…",2026-08-01
,35.0,12,2.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1281153619A1KILHAP000,"À Paris, charmant deux pièces de 35m² au 2ème étage d'un immeuble…",2026-08-01
2017.0,59.0,3,3.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292944953A1KILHAP000,"Appartement 58,61m², 3 pièces arts et métiers. appartement de 3 pièces rue…",2026-08-01
1790.0,53.0,16,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1292830124A1KILHAP000,"Paris, appartement meublé de 53 m² au 5e étage avec ascenseur. Exposition…",2026-08-01
2359.0,71.0,17,3.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1251831773A1KILHAP000,"Bien situé à Paris, appartement 3P de 71m² avec deux balcons. Comprend…",2026-08-01
1600.0,50.0,18,3.0,,https://www.paruvendu.fr/immobilier/location/appartement/1289970731A1KILHAP000,"Situé à Paris, joli T3 de 45 m² entièrement meublé. Proche du…",2026-08-01
1200.0,41.0,8,2.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1292772498A1KILHAP000,Appartement 2 pièces meublé de 41m² à paris 8ème. appartement 2 pièces…,2026-08-01
2500.0,55.0,16,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1292716747A1KILHAP000,"À Paris, appartement 2 pièces dans le 16ème arrondissement. Séjour lumineux, cuisine…",2026-08-01
1480.0,40.0,9,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1291184065A1KILHAP000,"Appartement 2 pièces . superbe appartement 2 pièces dans un quartier animé,…",2026-08-01
5400.0,108.0,15,5.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1292580506A1KILHAP000,Appartement à louer paris. bail code civil uniquement – résidence secondaire ou…,2026-08-01
1743.0,44.0,15,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1292286000A1KILHAP000,Appartement type f2 avec terrasse. au pied du métro charles michel et…,2026-08-01
1200.0,42.0,12,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1291936576A1KILHAP000,Appartement 2 pieces. À louer ? appartement 2 pièces il se compose…,2026-08-01
1890.0,90.0,11,3.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1292054333A1KILHAP000,"Paris, appartement T3 de 90 m2 au 1er étage avec ascenseur. Refait…",2026-08-01
1600.0,44.0,16,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1291937365A1KILHAP000,"À Paris, appartement de 44 m² dans un bel immeuble avec digicode…",2026-08-01
1500.0,50.0,7,4.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1291726841A1KILHAP000,4 pièces . idéal 4 pièces situé proximité immédiate de la tour…,2026-08-01
2650.0,55.0,4,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1291310941A1KILHAP000,Métro saint paul . apparemment 3 pieces meublé atypique de poutres apparentes…,2026-08-01
2000.0,40.0,18,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1291118322A1KILHAP000,Appartement 2 pièces proche montmartre. charmant 2 pièces à montmartre ? idéal…,2026-08-01
850.0,15.0,15,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1289744206A1KILHAP000,"Paris 15e, studio en rez-de-chaussée d'environ 15m2. Immeuble bourgeoise sécurisé avec gardienne…",2026-08-01
700.0,18.0,20,1.0,6.0,https://www.paruvendu.fr/immobilier/location/appartement/1290861681A1KILHAP000,1 pièce meuble. idéal 1 pièce meuble avec une salle de bain.…,2026-08-01
2420.0,65.0,15,4.0,,https://www.paruvendu.fr/immobilier/location/duplex-triplex/1290683084A1KILHDU000,Paris - Appartement loft avec style mêlant modernité et charme. Deux espaces…,2026-08-01
2300.0,66.0,3,3.0,,https://www.paruvendu.fr/immobilier/location/appartement/1279087053A1KILHAP000,Charment apartement dans le marais. notre bel appartement est niché dans le…,2026-08-01
450.0,11.0,16,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1289542277A1KILHAP000,"Paris, etoile. studio meublé 11m2. avenue victor hugo 75116 parisà proximité de…",2026-08-01
700.0,10.0,17,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1289479020A1KILHAP000,Chambre de bonne. je loue une chambre de bonne de 10 m…,2026-08-01
665.0,64.0,12,4.0,,https://www.paruvendu.fr/immobilier/location/maison/1289033239A1KILHMN000,Chambre dans colocation avec espace extérieur . cette charmante maison est louée…,2026-08-01
800.0,15.0,14,4.0,,https://www.paruvendu.fr/immobilier/location/chambre/1287555330A1KILHCM000,"Chambre de 15m2 . libre dès juin 2026 pour jeunes étudiants (es),…",2026-08-01
850.0,15.0,13,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1287124885A1KILHAP000,"Appartement - logement étudiant. studio meublé étudiante calme proche de toutes commodités,…",2026-08-01
850.0,15.0,13,,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1287130109A1KILHAP000,"Paris, studio meublé étudiant calme proche des écoles et des transports. Internet…",2026-08-01
400.0,,12,1.0,,https://www.paruvendu.fr/immobilier/location/atelier/1284716193A1KILHAT000,🚀espace de travail dans un atelier partagé à louer paris 12🚀. dans…,2026-08-01
1050.0,12.0,8,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1265207663A1KILHAP000,Rare studio au pied des champs Élysée rue de là boetie 1050€.…,2026-08-01
800.0,13.0,6,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1281300578A1KILHAP000,"Paris, appartement au 6ème étage. Séjour avec lit et armoire, coin cuisine,…",2026-08-01
1000.0,30.0,19,2.0,,https://www.paruvendu.fr/immobilier/location/appartement/1279855197A1KILHAP000,Vide - bail civil uniquement -. rue d'aubervilliers 75019 paris. appartement 2…,2026-08-01
1290.0,53.0,20,3.0,2.0,https://www.paruvendu.fr/immobilier/location/atelier/1279086793A1KILHAT000,Studio professionnel. porte de montreuil. rue de la croix saint simon. atelier…,2026-08-01
420.0,11.0,9,1.0,7.0,https://www.paruvendu.fr/immobilier/location/appartement/1260050854A1KILHAP000,"Joli pt studio t.fonctionnel à9. dans ""le montmartre du 9"". *studette totalement…",2026-08-01
1187.0,30.0,20,1.0,,https://www.paruvendu.fr/immobilier/location/appartement/1262383486A1KILHAP000,"Studio lumineux étage élevé belle vue, très calme. bonjour nous louons un…",2026-08-01
1500.0,38.0,9,2.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758326A1KILHAP000,Appartement 2 pieces paris 9. appartement de 38 m2 à louer sur…,2026-08-01
950.0,21.0,9,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758303A1KILHAP000,Location studio paris 9. appartement de 21 m2 à louer sur paris…,2026-08-01
1580.0,33.0,6,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758299A1KILHAP000,"Beau studio cosy 33m² refait, et meublé paris 6. appartement de 33…",2026-08-01
1300.0,31.0,11,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758263A1KILHAP000,Appartement f2 meublé 31m2 - marais bastille. appartement de 31 m2 à…,2026-08-01
1790.0,51.0,11,2.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758233A1KILHAP000,Beau 2p meublé 51m² très calme. appartement de 51 m2 à louer…,2026-08-01
640.0,15.0,16,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758231A1KILHAP000,Studio avenue foch paris 15 m2. appartement de 15 m2 à louer…,2026-08-01
630.0,12.0,13,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758175A1KILHAP000,Studio calme à paris 13ème. appartement de 12 m2 à louer sur…,2026-08-01
1694.0,44.0,1,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758155A1KILHAP000,Charmant 2p meublé 44m² dans quartier prisé. appartement de 44 m2 à…,2026-08-01
1050.0,20.0,12,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758125A1KILHAP000,Charmant studio meublé de 20m² sans vis-à-vis. appartement de 20 m2 à…,2026-08-01
718.0,23.0,19,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758071A1KILHAP000,Chambre en colocation refaite à neuf. chambre de 23 m2 à louer…,2026-08-01
2475.0,70.0,11,3.0,7.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758062A1KILHAP000,Appartement paris 11 eme -t3- 70 m2 avec parking. appartement de 70…,2026-08-01
1250.0,35.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293757996A1KILHAP000,Beau 2 pièces sèvres lecourbe paris 15ème. appartement de 35 m2 à…,2026-08-01
1600.0,35.0,11,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293757982A1KILHAP000,Location t2. appartement de 35 m2 à louer sur paris a quelques…,2026-08-01
1566.0,32.0,1,2.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293757921A1KILHAP000,Superbe 2p meublé 32m² (43m² au sol). appartement de 32 m2 à…,2026-08-01
1000.0,20.0,15,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293757903A1KILHAP000,Studio quartier calme. appartement de 20 m2 à louer sur paris studio…,2026-08-01
1075.0,29.0,18,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293757876A1KILHAP000,Grand studio. appartement de 29 m2 à louer sur paris un grand…,2026-08-01
921.0,27.0,2,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730084A1KILHAP000,Charmant studio métro bourse. appartement de 27 m2 à louer sur paris…,2026-08-01
690.0,20.0,11,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730079A1KILHAP000,Studio paris 11ème alexandre dumas. appartement de 20 m2 à louer sur…,2026-08-01
1000.0,30.0,12,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730072A1KILHAP000,Loue grand studio paris 12e daumesnil dugommier. appartement de 30 m2 à…,2026-08-01
1460.0,44.0,3,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730060A1KILHAP000,Lumineux 2 pièces au calme sous les toits. appartement de 44 m2…,2026-08-01
1480.0,25.0,11,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730021A1KILHAP000,"Vue sur cour, rénové, calme, en face du marais. appartement de 25…",2026-08-01
630.0,12.0,13,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729998A1KILHAP000,Studio calme à paris 13ème. appartement de 12 m2 à louer sur…,2026-08-01
800.0,15.0,5,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730002A1KILHAP000,Charmant studio lumineux paris 5. appartement de 15 m2 à louer sur…,2026-08-01
1290.0,38.0,18,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729990A1KILHAP000,Location 2 pieces meuble paris 18eme. appartement de 38 m2 à louer…,2026-08-01
1050.0,40.0,13,2.0,5.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729992A1KILHAP000,Appartement t2 non meublé 40m2 refait à neuf paris. appartement de 40…,2026-08-01
1300.0,42.0,18,2.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729987A1KILHAP000,2 pièces rue championet 18eme. appartement de 42 m2 à louer sur…,2026-08-01
1450.0,34.0,17,1.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729919A1KILHAP000,Charmant appartement meublé – vue dégagée. appartement de 34 m2 à louer…,2026-08-01
1140.0,25.0,20,1.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758265A1KILHAP000,Studio 25m2 richement meublé à ménilmontant. appartement de 25 m2 à louer…,2026-08-01
1600.0,45.0,4,2.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730025A1KILHAP000,Marais saint paul - 2 pièces meublé - 44m2. appartement de 45…,2026-08-01
2000.0,61.0,20,3.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293730102A1KILHAP000,Appartement 61 m2. appartement de 61 m2 à louer sur paris après…,2026-08-01
1350.0,50.0,15,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758333A1KILHAP000,Beau 2 pièces lumineux secteur beaugrenelle. appartement de 50 m2 à louer…,2026-08-01
1640.0,45.0,15,2.0,2.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758295A1KILHAP000,Charmant 2p meublé 45m². appartement de 45 m2 à louer sur paris…,2026-08-01
950.0,15.0,16,2.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729930A1KILHAP000,Furnished studio ranelagh-la muette paris 16ème. appartement de 15 m2 à louer…,2026-08-01
2120.0,76.0,15,3.0,4.0,https://www.paruvendu.fr/immobilier/location/appartement/1293729918A1KILHAP000,Appartement 3 pièces 76 m2. appartement de 76 m2 à louer sur…,2026-08-01
1250.0,28.0,16,1.0,3.0,https://www.paruvendu.fr/immobilier/location/appartement/1293758202A1KILHAP000,Studio meublé paris 16 - victor hugo 28m². appartement de 28 m2…,2026-08-01
